prioridad,barberia,comuna,direccion,sistema_actual,link_reserva_o_web,angulo_de_venta,nota
A - alta,Buona Pinta Barber Truck,Concón,Móvil (barber truck),WhatsApp (sistema en actualización),https://www.buonapinta.cl/,Su propia web dice que reservan por WhatsApp mientras actualizan el sistema: hoy buscan solución,Contactar primero
A - alta,Life Barbería & Studio,Viña del Mar,1 Norte 681,Fresha,https://www.fresha.com/a/life-barberia-studio-vina-del-mar-vina-del-mar-1-norte-681-rnes29ng,"Fresha dejó de ser gratis en julio 2026 (USD 14,95–19,95 por profesional + 20% por cliente nuevo del marketplace)",También aparece en AgendaPro
A - alta,Macho's Barbershop,Viña del Mar,"4 Norte 477, local 5",Fresha,https://www.fresha.com/a/machos-barbershop-vina-del-mar-vina-del-mar-4-norte-477-w61hgpyh,Mismo ángulo Fresha: costo nuevo en dólares + comisión,Abre lunes a domingo
A - alta,Alpacino Barber,Viña del Mar,Por confirmar,Fresha,https://www.fresha.com/lp/en/bt/barbershops/in/cl-vi%C3%B1a-del-mar,Mismo ángulo Fresha,Buscar ficha en el listado de Fresha
A - alta,Nico Barber Studio,Viña del Mar,Por confirmar,Fresha,https://www.fresha.com/lp/en/bt/barbershops/in/cl-vi%C3%B1a-del-mar,Mismo ángulo Fresha,Buscar ficha en el listado de Fresha
A - alta,Barbería Designed,Villa Alemana,Buenos Aires 943 B,"Setmore (gratis, en inglés, genérico)",https://barberiadesigned.setmore.com/,"Setmore no tiene marca propia, ni shop, ni base de marketing en español",
A - alta,Mekaddesh Studio & Barbería,Quillota,Chacabuco 183,Setmore,https://mekaddesh.setmore.com/,Ángulo Setmore: pasar de página genérica a web con marca,IG @mekaddesh.studio
A - alta,Krilo Barbershop,Quillota,Pasaje Herrero 1200,Setmore,https://krilobarbershop.setmore.com/,Ángulo Setmore,Corte $13.000 / 45 min según su página
A - alta,La Silla Studio,Limache,Por confirmar,Setmore,https://lasilla.setmore.com/,Ángulo Setmore,
A - alta,Leo Barber,Los Andes,Por confirmar,Setmore,https://leobarber12.setmore.com/,Ángulo Setmore,Servicio a $16.000 según su página
A - alta,Matías Rossi,Los Andes,Por confirmar,Setmore,https://matiasrossi.setmore.com/,Barbero independiente: plan 1 barbero,
A - alta,Scarface Studio,Quilpué,Freire 915,Web propia + WhatsApp (+56 9 5142 0003),https://scarfacestudio.cl/,Reserva principal por WhatsApp: automatizar recordatorios y liberar tiempo,Fade $17.000 / 60 min; barba $12.000
A - alta,Barbería Victory,Quilpué,Por confirmar,Solo Facebook,https://www.facebook.com/barberiavictory/,Sin sistema de reservas visible,Verificar si sigue activa
A - alta,The Boss Barber,Limache,Por confirmar,Solo Facebook,https://www.facebook.com/barberiathebossbarber/,Sin sistema de reservas visible,Verificar si sigue activa
A - alta,Bastardos Barber Studio,Por confirmar (apareció en búsqueda de Quilpué),Por confirmar,TuReserva,https://bigbear.tureserva.cl/,Sistema chico: evaluar si le falta marketing y shop,Confirmar comuna
B - media,Barbería León Barber,Valparaíso,"Condell 1329, local 16",AgendaPro,https://agendapro.com/mp/cl/pl/barberia-leon-barber-cl-valparaiso/40247,Tiene AgendaPro pero sin web propia: ofrecer marca + marketing,
